btime	https://drive.google.com/uc?export=download&id=1bTqkOHGZcPNkKYNXYJ-DO8tsrVeTdqLL	Burger Time	2023-07-04 00:00:00	1.0	btime.zip		MAME 2003+	Crusher124 - modeler: Crusher124
burnforc	https://cdn.discordapp.com/attachments/1213219169760444416/1229499413483753582/burnforc.zip?ex=67ecd9cf&is=67eb884f&hm=1e85f2064b218876e57bd78c6635d6ead2063b1650a9234e55aefb9c2611c8db&	Burning Force	2024-04-15 00:00:00	1.0	burnforc.zip		MAME 2003+	Alyx_Hope - modeler: Bobby Tribble/mAdbiLL
cabal	https://drive.google.com/uc?export=download&id=174GoaP1hsrERlZTTruXqlkZ01fl74ss5	Cabal	2023-07-02 00:00:00	1.0	cabal.zip		MAME 2003+	mAdbiLL - modeler: mAdbiLL
cadash	https://cdn.discordapp.com/attachments/1066438854090965043/1190773210673852506/cadash.zip?ex=67ed07b8&is=67ebb638&hm=11fecf5300c230ce4a2935ab336aa15d22e0e4107073f2f795c9a185ede8d1b6&	Cadash	2023-12-30 00:00:00	1.0	cadash.zip		MAME 2003+	Aero - modeler: Angelicide
dinou	https://drive.google.com/uc?export=download&id=1MPY74UchSLeSTAECo-L33ugF7SqIExOS	Cadillacs & Dinosaurs	2023-05-05 00:00:00	1.0	dinou.zip		MAME 2003+	Crusher124 - modeler: curif
calspeed	https://drive.google.com/uc?export=download&id=1ujuIN2Wofsbjow-G73B1ZnEwY4l7M3yl	California Speed	2024-06-01 00:00:00	1.0	calspeed.zip		MAME 2003+	mAdbiLL - modeler: mAdbiLL
captaven	https://cdn.discordapp.com/attachments/1066438854090965043/1196698219380482160/captaven.zip?ex=67ecd511&is=67eb8391&hm=0e6bf9d1043a285f82a1c9d7549e0d9f4f0f40ee04830408b8203dcd90b8cc44&	Captain American and the Avengers	2024-01-16 00:00:00	1.0	captaven.zip		MAME 2003+	Zydonian - modeler: GOZER/Zydonian
captcomm	https://cdn.discordapp.com/attachments/1213219169760444416/1251287333907468368/captcomm.zip?ex=67ed0364&is=67ebb1e4&hm=619128ee393f1646d069f401b8255c33e50a87bde25d4456dcab863902dd7852&	Captain Commando	2024-06-14 00:00:00	1.0	captcomm.zip		FB Neo	Emashzed/DangerMiaus - modeler: Emashzed/DangerMiaus
carmageddon	https://cdn.discordapp.com/attachments/1213219169760444416/1241645512030162974/carmageddon.zip?ex=67ecdf7e&is=67eb8dfe&hm=ddb1b72d0adb72abcaf34835d49dfb05ea01d240bfd304276e54f87c4ec3358c&	Carmageddon	2024-05-19 00:00:00	1.0	Carmageddon (Germany) (En,Fr,De,Es).cue		swanstation	beholder - modeler: emunch
carnevil	https://cdn.discordapp.com/attachments/1066438854090965043/1194253293732503562/carnevil.zip?ex=67ed2a8d&is=67ebd90d&hm=bcd0ac00e0c916c9c23880e039d818364ff592d938e97f34ddd66cea535a58e1&	CarnEvil	2024-01-09 00:00:00	1.0	carnevil.zip	readme.txt included	MAME 2003+	Aero - modeler: Elleby
